Country and Regions,Country and Regions Name,Country and Regions - RegionId,Indicators,Indicators Name,Scale,Units,1980
CMR,Cameroon,CM,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,0
CMR,Cameroon,CM,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,"5838,66478"
CMR,Cameroon,CM,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,"7648,894885"
CMR,Cameroon,CM,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,"5998,992935"
CMR,Cameroon,CM,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,"715,1306897"
CMR,Cameroon,CM,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,"5283,862245"
CMR,Cameroon,CM,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,"1631,483582"
CMR,Cameroon,CM,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,"1422,200072"
CMR,Cameroon,CM,NE.GDI.PUB.CD,"Gross capital formation, Public sector  (current US$)",millions,U.S. dollars,"209,2835102"
CMR,Cameroon,CM,NE.EXPO.GNFS.CD,Exports of goods and services (current US$),millions,U.S. dollars,"1553,776032"
CMR,Cameroon,CM,NE.IMP.GNFS.CD,Imports of goods and services (current US$),millions,U.S. dollars,"1535,360964"
CMR,Cameroon,CM,NE.CON.TETC.ZS,Final consumption expenditure  (% of GDP),units,Percentage of GDP,"78,42953818"
CMR,Cameroon,CM,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),units,Percentage of GDP,"9,349464209"
CMR,Cameroon,CM,NE.CON.PETC.ZS,Household final consumption expenditure  (% of GDP),units,Percentage of GDP,"69,08007398"
CMR,Cameroon,CM,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),units,Percentage of GDP,"21,32966404"
CMR,Cameroon,CM,NE.GDI.PVTE.ZS,"Gross capital formation, Private sector (% GDP)",units,Percentage of GDP,"18,59353662"
CMR,Cameroon,CM,NE.GDI.PUB.ZS,"Gross capital formation, Public sector (% GDP)",units,Percentage of GDP,"2,736127419"
CMR,Cameroon,CM,NE.EXPO.GNFS.ZS,Exports of goods and services (% of GDP),units,Percentage of GDP,"20,31373232"
CMR,Cameroon,CM,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),units,Percentage of GDP,"20,07297769"
CMR,Cameroon,CM,GC.BAL.CASH.GD.CD,"Central government, Fiscal Balance (Current US $)",millions,U.S. dollars,"18,61893518"
CMR,Cameroon,CM,GC.REV.TOTL.GD.CD,"Central government, total revenue and grants  (Current US $)",millions,U.S. dollars,"1103,679369"
CMR,Cameroon,CM,GC.XPN.TOTL.GD.CD,"Central government, total expenditure and net lending  (Current US $)",millions,U.S. dollars,"1085,060434"
CMR,Cameroon,CM,GC.BAL.CASH.GD.ZS,"Central government, Fiscal Balance (% of GDP)",units,Percentage of GDP,"0,2434199379"
CMR,Cameroon,CM,GC.REV.TOTL.GD.ZS,"Central government, total revenue and grants  (% of GDP)",units,Percentage of GDP,"14,42926574"
CMR,Cameroon,CM,GC.XPN.TOTL.GD.ZS,"Central government, total expenditure and net lending  (% of GDP)",units,Percentage of GDP,"14,1858458"
CMR,Cameroon,CM,BG.CAB.CD,"Current account balance (Net, BoP, cur. US$)",millions,U.S. dollars,"-279,1716032"
CMR,Cameroon,CM,BG.WEO.ADB.CAB.GDP.ZS,Current account balance (As % of GDP),units,Percentage of GDP,"-3,649829255"
CMR,Cameroon,CM,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",units,percentage,0
CPV,Cabo Verde,CV,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,0
CPV,Cabo Verde,CV,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,0
CPV,Cabo Verde,CV,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,"177,9259708"
CPV,Cabo Verde,CV,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,"156,6003079"
CPV,Cabo Verde,CV,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,"153,6979557"
CPV,Cabo Verde,CV,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,"20,96831604"
CPV,Cabo Verde,CV,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,"132,7296397"
CPV,Cabo Verde,CV,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,"59,53219548"
CPV,Cabo Verde,CV,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,"40,23490533"
CPV,Cabo Verde,CV,NE.GDI.PUB.CD,"Gross capital formation, Public sector  (current US$)",millions,U.S. dollars,"19,29729015"
